passenger_id,origin_stop_id,destination_stop_id,request_time_seconds,status,pickup_time_seconds,dropoff_time_seconds,actual_pickup_stop_id,actual_dropoff_stop_id,wait_time_seconds,ride_time_seconds,total_service_time_seconds
1,4,1,0,Completed,184.873,342.718,4,1,184.873,157.846,342.718
2,8,3,65,Completed,263.084,503.962,8,3,198.084,240.877,438.962
3,2,7,150,Completed,423.447,664.451,2,7,273.447,241.003,514.451
4,6,4,240,Completed,741.583,1729.647,6,4,501.583,988.064,1489.647
5,1,5,330,Completed,342.718,551.782,1,5,12.718,209.064,221.782
6,7,2,425,Completed,664.451,862.209,7,2,239.451,197.759,437.209
7,3,8,530,Completed,625.594,1365.35,3,8,95.594,739.756,835.35
8,5,1,650,Completed,730.006,980.929,5,1,80.006,250.923,330.929
9,8,6,765,Completed,1365.35,1576.228,8,6,600.35,210.878,811.228
10,2,4,890,Completed,1061.658,1729.647,2,4,171.658,667.989,839.647
11,5,7,1015,Completed,1189.993,1790.311,5,7,174.993,600.318,775.311
12,1,8,1145,Completed,1245.505,1365.35,1,8,100.505,119.846,220.35
13,6,2,1280,Completed,1576.228,1961.063,6,2,296.228,384.835,681.063
14,4,6,1420,Completed,1729.647,2931.067,4,6,309.647,1201.42,1511.067
15,7,3,1565,Completed,1790.311,1828.026,7,3,225.311,37.715,263.026
16,3,5,1710,Completed,1828.026,1875.847,3,5,118.026,47.821,165.847
17,2,8,1860,Completed,1961.063,2143.042,2,8,101.063,181.979,283.042
18,8,1,2015,Completed,2143.042,2222.676,8,1,128.042,79.634,207.676
19,5,3,2165,Completed,2288.878,2584.613,5,3,123.878,295.735,419.613
20,1,6,2310,Completed,2488.479,2931.067,1,6,178.479,442.588,621.067
21,6,7,2440,Completed,2931.067,3564.911,6,7,491.067,633.844,1124.911
22,3,1,2560,Completed,2584.613,2642.885,3,1,24.613,58.271,82.885
23,7,4,2670,Completed,3564.911,3929.223,7,4,894.911,364.312,1259.223
24,4,2,2760,Completed,2833.337,3055.729,4,2,73.337,222.392,295.73
25,8,5,2840,Completed,3127.582,3205.25,8,5,287.582,77.668,365.25
26,2,6,2900,Completed,3055.729,3216.827,2,6,155.73,161.097,316.827
27,5,8,2945,Completed,3205.25,3382.979,5,8,260.25,177.729,437.979
28,1,3,2975,Completed,2975,3071.135,1,3,0,96.134,96.135
29,6,1,2990,Completed,3216.827,3462.613,6,1,226.827,245.786,472.613
30,3,7,3000,Completed,3071.135,3564.911,3,7,71.135,493.776,564.911
