leg_index,mode,from_stop_id,to_stop_id,arrived_stop_id,completed,departure_time_seconds,arrival_time_seconds,travel_time_seconds,leg_distance_meters,cumulative_distance_meters,planned_path_distance_meters,path_waypoint_count,boarded_count,dropped_off_count,waiting_count,on_board_count,completed_passenger_count
1,matrix_teleport,1,2,2,1,0,80.729,80.729,1210.936,1210.936,1210.936,0,0,0,2,0,0
2,matrix_teleport,2,1,1,1,80.729,142.862,62.133,931.998,2142.934,931.998,0,0,0,2,0,0
3,matrix_teleport,1,3,3,1,142.862,161.243,18.381,275.716,2418.651,275.716,0,0,0,3,0,0
4,matrix_teleport,3,4,4,1,161.243,184.873,23.629,354.438,2773.089,354.438,0,1,0,2,1,0
5,matrix_teleport,4,8,8,1,184.873,263.084,78.212,1173.174,3946.263,1173.174,0,1,0,2,2,0
6,matrix_teleport,8,1,1,1,263.084,342.718,79.634,1194.51,5140.772,1194.51,0,1,1,2,2,1
7,matrix_teleport,1,2,2,1,342.718,423.447,80.729,1210.936,6351.708,1210.936,0,1,0,1,3,1
8,matrix_teleport,2,1,1,1,423.447,485.58,62.133,931.999,7283.707,931.998,0,0,0,2,3,1
9,matrix_teleport,1,3,3,1,485.58,503.962,18.381,275.716,7559.423,275.716,0,0,1,2,2,2
10,matrix_teleport,3,5,5,1,503.962,551.782,47.821,717.314,8276.737,717.314,0,0,1,3,1,3
11,matrix_teleport,5,3,3,1,551.782,625.594,73.812,1107.175,9383.912,1107.174,0,1,0,2,2,3
12,matrix_teleport,3,7,7,1,625.594,664.451,38.856,582.847,9966.759,582.847,0,1,1,2,2,4
13,matrix_teleport,7,5,5,1,664.451,730.006,65.555,983.326,10950.08,983.326,0,1,0,1,3,4
14,matrix_teleport,5,6,6,1,730.006,741.583,11.577,173.66,11123.75,173.661,0,1,0,0,4,4
15,matrix_teleport,6,5,5,1,741.583,776.993,35.41,531.15,11654.9,531.151,0,0,0,1,4,4
16,matrix_teleport,5,2,2,1,776.993,862.209,85.216,1278.242,12933.14,1278.242,0,0,1,1,3,5
17,matrix_teleport,2,6,6,1,862.209,936.995,74.786,1121.786,14054.92,1121.787,0,0,0,2,3,5
18,matrix_teleport,6,7,7,1,936.995,961.514,24.519,367.783,14422.71,367.783,0,0,0,2,3,5
19,matrix_teleport,7,1,1,1,961.514,980.929,19.415,291.227,14713.93,291.226,0,0,1,2,2,6
20,matrix_teleport,1,2,2,1,980.929,1061.658,80.729,1210.937,15924.87,1210.936,0,1,0,2,3,6
21,matrix_teleport,2,1,1,1,1061.658,1123.791,62.133,931.999,16856.87,931.998,0,0,0,2,3,6
22,matrix_teleport,1,5,5,1,1123.791,1189.993,66.202,993.029,17849.9,993.03,0,1,0,2,4,6
23,matrix_teleport,5,1,1,1,1189.993,1245.505,55.511,832.67,18682.57,832.67,0,1,0,1,5,6
24,matrix_teleport,1,5,5,1,1245.505,1311.707,66.202,993.029,19675.6,993.03,0,0,0,2,5,6
25,matrix_teleport,5,8,8,1,1311.707,1365.35,53.644,804.652,20480.25,804.653,0,1,2,1,4,8
26,matrix_teleport,8,5,5,1,1365.35,1443.018,77.668,1165.018,21645.27,1165.018,0,0,0,2,4,8
27,matrix_teleport,5,3,3,1,1443.018,1516.83,73.812,1107.174,22752.44,1107.174,0,0,0,2,4,8
28,matrix_teleport,3,5,5,1,1516.83,1564.651,47.821,717.315,23469.76,717.314,0,0,0,2,4,8
29,matrix_teleport,5,6,6,1,1564.651,1576.228,11.577,173.66,23643.42,173.661,0,1,1,2,4,9
30,matrix_teleport,6,1,1,1,1576.228,1620.162,43.934,659.01,24302.43,659.009,0,0,0,2,4,9
31,matrix_teleport,1,5,5,1,1620.162,1686.364,66.202,993.029,25295.46,993.03,0,0,0,2,4,9
32,matrix_teleport,5,4,4,1,1686.364,1729.647,43.283,649.24,25944.7,649.24,0,1,2,2,3,11
33,matrix_teleport,4,7,7,1,1729.647,1790.311,60.664,909.965,26854.66,909.965,0,1,1,1,3,12
34,matrix_teleport,7,3,3,1,1790.311,1828.026,37.715,565.731,27420.39,565.731,0,1,1,0,3,13
35,matrix_teleport,3,5,5,1,1828.026,1875.847,47.821,717.315,28137.71,717.314,0,0,1,1,2,14
36,matrix_teleport,5,2,2,1,1875.847,1961.063,85.216,1278.242,29415.95,1278.242,0,1,1,0,2,15
37,matrix_teleport,2,1,1,1,1961.063,2023.197,62.133,931.998,30347.95,931.998,0,0,0,1,2,15
38,matrix_teleport,1,5,5,1,2023.197,2089.398,66.202,993.029,31340.97,993.03,0,0,0,1,2,15
39,matrix_teleport,5,8,8,1,2089.398,2143.042,53.644,804.652,32145.63,804.653,0,1,1,0,2,16
40,matrix_teleport,8,1,1,1,2143.042,2222.676,79.634,1194.51,33340.14,1194.51,0,0,1,1,1,17
41,matrix_teleport,1,3,3,1,2222.676,2241.057,18.381,275.715,33615.85,275.716,0,0,0,1,1,17
42,matrix_teleport,3,5,5,1,2241.057,2288.878,47.821,717.313,34333.16,717.314,0,1,0,0,2,17
43,matrix_teleport,5,2,2,1,2288.878,2374.094,85.216,1278.242,35611.41,1278.242,0,0,0,1,2,17
44,matrix_teleport,2,8,8,1,2374.094,2408.845,34.751,521.266,36132.67,521.265,0,0,0,1,2,17
45,matrix_teleport,8,1,1,1,2408.845,2488.479,79.634,1194.512,37327.18,1194.51,0,1,0,1,3,17
46,matrix_teleport,1,2,2,1,2488.479,2569.208,80.729,1210.938,38538.12,1210.936,0,0,0,2,3,17
47,matrix_teleport,2,3,3,1,2569.208,2584.613,15.405,231.078,38769.2,231.079,0,1,1,1,3,18
48,matrix_teleport,3,1,1,1,2584.613,2642.885,58.271,874.074,39643.27,874.073,0,0,1,1,2,19
49,matrix_teleport,1,5,5,1,2642.885,2709.087,66.202,993.031,40636.3,993.03,0,0,0,2,2,19
50,matrix_teleport,5,2,2,1,2709.087,2794.303,85.216,1278.242,41914.55,1278.242,0,0,0,3,2,19
51,matrix_teleport,2,4,4,1,2794.303,2833.337,39.034,585.516,42500.06,585.517,0,1,0,2,3,19
52,matrix_teleport,4,6,6,1,2833.337,2931.067,97.729,1465.941,43966,1465.942,0,1,2,3,2,21
53,matrix_teleport,6,1,1,1,2931.067,2975,43.934,659.008,44625.01,659.009,0,1,0,4,3,21
54,matrix_teleport,1,2,2,1,2975,3055.729,80.729,1210.938,45835.95,1210.936,0,1,1,5,3,22
55,matrix_teleport,2,3,3,1,3055.729,3071.135,15.405,231.078,46067.03,231.079,0,1,1,4,3,23
56,matrix_teleport,3,8,8,1,3071.135,3127.582,56.447,846.707,46913.73,846.706,0,1,0,3,4,23
