sample_index,event,episode_time_seconds,current_stop_id,target_stop_id,x,y,z,cumulative_distance_meters,speed_mps,blocked,block_reason
1,episode_start,0,1,,-31.947,0.503,-203.384,0,0,0,
2,sample,0,1,,-31.947,0.503,-203.384,0,0,0,
3,matrix_arrival,77.762,1,6,157.267,0.503,509.377,1166.424,0,0,
4,stop_arrival,77.762,6,6,157.267,0.503,509.377,1166.424,0,0,
5,sample,77.762,6,6,157.267,0.503,509.377,1166.424,0,0,
6,matrix_arrival,109.467,6,4,-157.512,0.503,480.008,1642.004,0,0,
7,stop_arrival,109.467,4,4,-157.512,0.503,480.008,1642.004,0,0,
8,sample,109.467,4,4,-157.512,0.503,480.008,1642.004,0,0,
9,matrix_arrival,187.467,4,3,-157.381,0.503,126.579,2811.998,0,0,
10,stop_arrival,187.467,3,3,-157.381,0.503,126.579,2811.998,0,0,
11,sample,187.467,3,3,-157.381,0.503,126.579,2811.998,0,0,
12,matrix_arrival,211.096,3,4,-157.512,0.503,480.008,3166.436,0,0,
13,stop_arrival,211.096,4,4,-157.512,0.503,480.008,3166.436,0,0,
14,sample,211.096,4,4,-157.512,0.503,480.008,3166.436,0,0,
15,matrix_arrival,289.307,4,8,157.326,0.503,-120.454,4339.61,0,0,
16,stop_arrival,289.307,8,8,157.326,0.503,-120.454,4339.61,0,0,
17,sample,289.307,8,8,157.326,0.503,-120.454,4339.61,0,0,
18,matrix_arrival,368.941,8,1,-31.947,0.503,-203.384,5534.12,0,0,
19,stop_arrival,368.941,1,1,-31.947,0.503,-203.384,5534.12,0,0,
20,sample,368.941,1,1,-31.947,0.503,-203.384,5534.12,0,0,
21,matrix_arrival,446.703,1,6,157.267,0.503,509.377,6700.544,0,0,
22,stop_arrival,446.703,6,6,157.267,0.503,509.377,6700.544,0,0,
23,sample,446.703,6,6,157.267,0.503,509.377,6700.544,0,0,
24,matrix_arrival,520.342,6,2,-157.334,0.503,-104.356,7805.125,0,0,
25,stop_arrival,520.342,2,2,-157.334,0.503,-104.356,7805.125,0,0,
26,sample,520.342,2,2,-157.334,0.503,-104.356,7805.125,0,0,
27,matrix_arrival,555.093,2,8,157.326,0.503,-120.454,8326.391,0,0,
28,stop_arrival,555.093,8,8,157.326,0.503,-120.454,8326.391,0,0,
29,sample,555.093,8,8,157.326,0.503,-120.454,8326.391,0,0,
30,matrix_arrival,602.076,8,3,-157.381,0.503,126.579,9031.147,0,0,
31,stop_arrival,602.076,3,3,-157.381,0.503,126.579,9031.147,0,0,
32,sample,602.076,3,3,-157.381,0.503,126.579,9031.147,0,0,
33,matrix_arrival,649.897,3,5,84.56,0.503,622.278,9748.461,0,0,
34,stop_arrival,649.897,5,5,84.56,0.503,622.278,9748.461,0,0,
35,sample,649.897,5,5,84.56,0.503,622.278,9748.461,0,0,
36,matrix_arrival,703.541,5,8,157.326,0.503,-120.454,10553.11,0,0,
37,stop_arrival,703.541,8,8,157.326,0.503,-120.454,10553.11,0,0,
38,sample,703.541,8,8,157.326,0.503,-120.454,10553.11,0,0,
39,matrix_arrival,781.209,8,5,84.56,0.503,622.278,11718.13,0,0,
40,stop_arrival,781.209,5,5,84.56,0.503,622.278,11718.13,0,0,
41,sample,781.209,5,5,84.56,0.503,622.278,11718.13,0,0,
42,matrix_arrival,817.305,5,7,157.243,0.503,142.751,12259.57,0,0,
43,stop_arrival,817.305,7,7,157.243,0.503,142.751,12259.57,0,0,
44,sample,817.305,7,7,157.243,0.503,142.751,12259.57,0,0,
45,matrix_arrival,836.72,7,1,-31.947,0.503,-203.384,12550.8,0,0,
46,stop_arrival,836.72,1,1,-31.947,0.503,-203.384,12550.8,0,0,
47,sample,836.72,1,1,-31.947,0.503,-203.384,12550.8,0,0,
48,matrix_arrival,902.922,1,5,84.56,0.503,622.278,13543.83,0,0,
49,stop_arrival,902.922,5,5,84.56,0.503,622.278,13543.83,0,0,
50,sample,902.922,5,5,84.56,0.503,622.278,13543.83,0,0,
51,matrix_arrival,958.433,5,1,-31.947,0.503,-203.384,14376.5,0,0,
52,stop_arrival,958.433,1,1,-31.947,0.503,-203.384,14376.5,0,0,
53,sample,958.433,1,1,-31.947,0.503,-203.384,14376.5,0,0,
54,matrix_arrival,1039.162,1,2,-157.334,0.503,-104.356,15587.44,0,0,
