from_stop_id,to_stop_id,sample_count,matrix_time_seconds,sample_time_seconds
1,2,1,78.702,78.702
1,3,1,113.836,113.836
1,4,1,150.281,150.281
1,5,1,276.298,276.298
1,6,1,237.88,237.88
1,7,1,156.982,156.982
1,8,1,75.778,75.778
1,9,1,301.44,301.44
1,10,1,201.028,201.028
1,11,1,106.337,106.337
1,12,1,154.756,154.756
2,1,1,123.176,123.176
2,3,1,55.873,55.873
2,4,1,99.249,99.249
2,5,1,223.506,223.506
2,6,1,266.177,266.177
2,7,1,186.89,186.89
2,8,1,207.693,207.693
2,9,1,308.22,308.22
2,10,1,235.271,235.271
2,11,1,164.301,164.301
2,12,1,152.2,152.2
3,1,1,84.653,84.653
3,2,1,135.271,135.271
3,4,1,225.656,225.656
3,5,0,93.62,
3,6,0,79.99,
3,7,0,79.45,
3,8,0,57.23,
3,9,0,90.52,
3,10,0,82.52,
3,11,0,68.28,
3,12,0,34.04,
4,1,1,166.52,166.52
4,2,1,140.512,140.512
4,3,0,58.37,
4,5,0,69.12,
4,6,0,56.64,
4,7,0,27.61,
4,8,0,53.5,
4,9,0,82.33,
4,10,0,46.12,
4,11,0,16.45,
4,12,0,25.86,
5,1,1,201.009,201.009
5,2,1,161.214,161.214
5,3,0,49.4,
5,4,0,27.76,
5,6,0,68.82,
5,7,0,39.79,
5,8,0,65.68,
5,9,0,94.51,
5,10,0,37.15,
5,11,0,28.62,
5,12,0,38.03,
6,1,1,147.341,147.341
6,2,1,197.4,197.4
6,3,0,61.84,
6,4,0,41.3,
6,5,0,60.62,
6,7,0,24.52,
6,8,0,50.4,
6,9,0,95.51,
6,10,0,49.58,
6,11,0,25.26,
6,12,0,50.47,
7,1,1,73.267,73.267
7,2,1,123.454,123.454
7,3,0,64.77,
7,4,0,48.96,
7,5,0,90.14,
7,6,0,77.13,
7,8,0,25.89,
7,9,0,102.82,
7,10,0,66.61,
7,11,0,36.94,
7,12,0,46.35,
8,1,1,152.715,152.715
8,2,1,179.935,179.935
8,3,0,52.98,
8,4,0,44.34,
8,5,0,63.73,
8,6,0,51.25,
8,7,0,22.22,
8,9,0,76.94,
8,10,0,40.73,
8,11,0,11.05,
8,12,0,20.46,
9,1,1,188.666,188.666
9,2,1,193.062,193.062
9,3,0,35.4,
9,4,0,12.25,
9,5,0,81.47,
9,6,0,68.99,
9,7,0,39.97,
9,8,0,65.85,
9,10,0,23.04,
9,11,0,28.8,
9,12,0,38.21,
10,1,1,184.973,184.973
10,2,1,239.119,239.119
10,3,0,102.3,
10,4,0,91.36,
10,5,0,114.17,
10,6,0,101.69,
10,7,0,72.66,
10,8,0,50.34,
10,9,0,126.41,
10,11,0,61.49,
10,12,0,69.93,
11,1,1,180.225,180.225
11,2,1,139.244,139.244
11,3,0,42.82,
11,4,0,34.18,
11,5,0,53.56,
11,6,0,41.08,
11,7,0,33.2,
11,8,0,59.09,
11,9,0,71.14,
11,10,0,30.56,
11,12,0,31.44,
12,1,0,78.27,
12,2,1,198.555,198.555
12,3,1,220.454,220.454
12,4,0,40.27,
12,5,0,59.65,
12,6,0,46.02,
12,7,0,51.19,
12,8,0,77.08,
12,9,0,56.55,
12,10,0,48.55,
12,11,0,40.03,
