0,34.646,61.966,89.438,160.115,192.601,107.196,43.817,180.785,127.701,39.57,48.1
69.134,0,17.41,28.46,69.64,76.6,56.07,70.52,107.85,74.58,44.9,51.37
50.769,48.99,0,74.24,93.62,79.99,79.45,57.23,90.52,82.52,68.28,34.04
99.025,49.3,58.37,0,69.12,56.64,27.61,53.5,82.33,46.12,16.45,25.86
133.544,61.47,49.4,27.76,0,68.82,39.79,65.68,94.51,37.15,28.62,38.03
84.934,71.83,61.84,41.3,60.62,0,24.52,50.4,95.51,49.58,25.26,50.47
40.791,47.36,64.77,48.96,90.14,77.13,0,25.89,102.82,66.61,36.94,46.35
96.499,65.05,52.98,44.34,63.73,51.25,22.22,0,76.94,40.73,11.05,20.46
110.111,60.69,35.4,12.25,81.47,68.99,39.97,65.85,0,23.04,28.8,38.21
106.627,84.88,102.3,91.36,114.17,101.69,72.66,50.34,126.41,0,61.49,69.93
60.28,54.88,42.82,34.18,53.56,41.08,33.2,59.09,71.14,30.56,0,31.44
78.27,72.87,60.81,40.27,59.65,46.02,51.19,77.08,56.55,48.55,40.03,0
